,level_0,index,date,time,symbol,open,high,low,close,oi,volume,strikePrice,entryPriceCE,exitPriceCE,gainCE,exitTimeCE,entryPricePE,exitPricePE,gainPE,exitTimePE,StrikeGain
1,102,3788,07-01-2020,10:57:00,NIFTY,12103.5,12103.5,12093.55,12096.9,nan,0,12100,-61.15,36.85,-24.3,15:29:00,-43,82.95,39.95,13:06:00,-782.5
2,231,8400,07-01-2020,13:06:00,NIFTY,12050.6,12051.2,12044,12044.05,nan,0,12050,-57.15,62.75,5.6,15:29:00,-55.05,43.2,-11.85,15:29:00,312.5
0,15,726,08-01-2020,09:30:00,NIFTY,11985.65,11992,11983.8,11987.45,nan,0,12000,-47.45,60.3,12.85,15:29:00,-65.9,42,-23.9,15:29:00,552.5
0,15,634,09-01-2020,09:30:00,NIFTY,12161.2,12161.55,12154.7,12154.7,nan,0,12150,-28.2,53.15,24.95,13:06:00,-21.45,0.05,-21.4,15:29:00,-177.5
1,231,7087,09-01-2020,13:06:00,NIFTY,12199.55,12203.1,12198.7,12201.75,nan,0,12200,-16.65,15.7,-0.95,15:29:00,-16.4,0.05,-16.35,15:29:00,865
0,15,679,10-01-2020,09:30:00,NIFTY,12247.95,12247.95,12244.2,12247.15,nan,0,12250,-72.35,105.4,33.05,11:39:00,-75,67.55,-7.45,15:29:00,-1280
1,144,5779,10-01-2020,11:39:00,NIFTY,12295.4,12301.1,12295,12300.15,nan,0,12300,-75.2,51.8,-23.4,15:29:00,-73.85,92.1,18.25,14:05:00,257.5
2,290,11448,10-01-2020,14:05:00,NIFTY,12252.55,12252.95,12241.9,12242.8,nan,0,12250,-81,76.7,-4.3,15:29:00,-67.75,67.55,-0.2,15:29:00,225
0,15,679,13-01-2020,09:30:00,NIFTY,12325,12330.95,12324.8,12330.4,nan,0,12350,-54.3,48.25,-6.05,15:29:00,-76.7,85.5,8.8,14:08:00,-137.5
1,293,10688,13-01-2020,14:08:00,NIFTY,12305.95,12306.45,12299.4,12299.4,nan,0,12300,-62.9,75.25,12.35,15:29:00,-59.2,46.7,-12.5,15:29:00,7.5
0,15,607,14-01-2020,09:30:00,NIFTY,12326.35,12326.35,12319.1,12320,nan,0,12350,-35.25,52,16.75,15:29:00,-74.55,41.65,-32.9,15:29:00,807.5
0,15,629,15-01-2020,09:30:00,NIFTY,12309.15,12309.15,12298.75,12299.8,nan,0,12300,-42.15,67.3,25.15,15:15:00,-35.95,15.25,-20.7,15:29:00,-222.5
1,360,11860,15-01-2020,15:15:00,NIFTY,12348.65,12354.4,12348.65,12354.4,nan,0,12350,-33.25,29.7,-3.55,15:29:00,-31.05,33.3,2.25,15:29:00,65
0,15,589,16-01-2020,09:30:00,NIFTY,12364.9,12368.85,12364.9,12365.25,nan,0,12350,-27.1,5.35,-21.75,15:29:00,-14.6,0.05,-14.55,15:29:00,1815
0,15,585,17-01-2020,09:30:00,NIFTY,12348.8,12348.8,12343.55,12344.15,nan,0,12350,-63,65.3,2.3,15:29:00,-72.05,58.35,-13.7,15:29:00,570
0,15,604,20-01-2020,09:30:00,NIFTY,12372.35,12376.35,12369.15,12374.25,nan,0,12350,-64.45,22.4,-42.05,15:29:00,-51.9,84.4,32.5,10:31:00,477.5
1,76,2913,20-01-2020,10:31:00,NIFTY,12305.35,12305.5,12297.15,12298.6,nan,0,12300,-60.35,36.15,-24.2,15:29:00,-55.3,86.25,30.95,13:13:00,-337.5
2,238,8248,20-01-2020,13:13:00,NIFTY,12247.9,12252.95,12247.05,12249.6,nan,0,12250,-57.8,56.5,-1.3,15:29:00,-56.2,56.25,0.05,15:29:00,62.5
0,15,629,21-01-2020,09:30:00,NIFTY,12209.1,12216.9,12208.35,12214.9,nan,0,12200,-54.4,37.55,-16.85,15:29:00,-53,57,4,15:29:00,642.5
0,15,579,22-01-2020,09:30:00,NIFTY,12200.85,12206.75,12197.95,12204.9,nan,0,12200,-44.35,10.85,-33.5,15:29:00,-39.7,56.1,16.4,10:21:00,855
1,66,2242,22-01-2020,10:21:00,NIFTY,12161.25,12161.25,12142.95,12149.9,nan,0,12150,-54.75,22.35,-32.4,15:29:00,-30.6,66.35,35.75,14:09:00,-167.5
2,294,9243,22-01-2020,14:09:00,NIFTY,12100.8,12102.55,12095.6,12098.9,nan,0,12100,-37,45.5,8.5,15:29:00,-34.5,23.65,-10.85,15:29:00,117.5
0,15,575,23-01-2020,09:30:00,NIFTY,12138.55,12142.65,12138.55,12139,nan,0,12150,-14.8,30.4,15.6,15:29:00,-37.4,0.05,-37.35,15:29:00,1087.5
0,15,795,24-01-2020,09:30:00,NIFTY,12178.95,12190.3,12178.65,12187.45,nan,0,12200,-63.15,106.3,43.15,13:35:00,-81.3,35.1,-46.2,15:29:00,152.5
1,260,11550,24-01-2020,13:35:00,NIFTY,12247.5,12254.1,12246,12253.05,nan,0,12250,-74.65,74.2,-0.45,15:29:00,-55.7,51.65,-4.05,15:29:00,225
0,15,854,27-01-2020,09:30:00,NIFTY,12178.15,12178.15,12167.7,12171.5,nan,0,12200,-50.7,31.45,-19.25,15:29:00,-78.95,84,5.05,14:34:00,710
1,319,14696,27-01-2020,14:34:00,NIFTY,12157.55,12157.95,12148.4,12148.5,nan,0,12150,-65,50.4,-14.6,15:29:00,-57.85,77.3,19.45,15:29:00,-242.5
0,15,783,28-01-2020,09:30:00,NIFTY,12133.9,12147.85,12133.9,12147.6,nan,0,12150,-51.1,24.1,-27,15:29:00,-69.6,81.7,12.1,10:33:00,745
1,78,3859,28-01-2020,10:33:00,NIFTY,12102.3,12102.85,12099.35,12099.75,nan,0,12100,-63.3,41.45,-21.85,15:29:00,-55.25,76.35,21.1,14:42:00,37.5
2,327,14812,28-01-2020,14:42:00,NIFTY,12050.65,12051.3,12044.6,12046.7,nan,0,12050,-62,68.05,6.05,15:29:00,-49.85,41.9,-7.95,15:29:00,95
0,15,729,29-01-2020,09:30:00,NIFTY,12137.25,12137.7,12131.55,12134.15,nan,0,12150,-38.25,21.3,-16.95,15:29:00,-53.9,48.25,-5.65,15:29:00,1130
0,15,725,30-01-2020,09:30:00,NIFTY,12084.6,12084.9,12080.8,12081.1,nan,0,12100,-16.55,0.05,-16.5,15:29:00,-43.05,62.2,19.15,11:05:00,-132.5
1,110,4630,30-01-2020,11:05:00,NIFTY,12051.55,12051.95,12044.35,12046.9,nan,0,12050,-19.7,0.05,-19.65,15:29:00,-25.45,14.4,-11.05,15:29:00,1535
0,15,735,31-01-2020,09:30:00,NIFTY,12082,12082.95,12075.55,12079.6,nan,0,12100,-145.15,95.85,-49.3,15:29:00,-153.35,166.75,13.4,09:40:00,1795
1,25,1201,31-01-2020,09:40:00,NIFTY,12063.75,12063.75,12042.05,12042.4,nan,0,12050,-162.75,115.4,-47.35,15:29:00,-141.55,168.5,26.95,11:08:00,1020
2,113,5117,31-01-2020,11:08:00,NIFTY,12013.5,12013.5,11996.25,11999.95,nan,0,12000,-168.6,174.5,5.9,14:17:00,-142.8,157,14.2,15:29:00,-1005
3,302,13794,31-01-2020,14:17:00,NIFTY,12048.6,12051,12047.05,12050.1,nan,0,12050,-148.95,115.4,-33.55,15:29:00,-138.65,178,39.35,13:03:00,-290
4,228,10337,31-01-2020,13:03:00,NIFTY,11993.1,11996.4,11991.1,11996.2,nan,0,12000,-150.75,136.5,-14.25,15:29:00,-150.55,161.85,11.3,15:11:00,147.5
5,356,16518,31-01-2020,15:11:00,NIFTY,11961.7,11962.75,11948.05,11948.4,nan,0,11950,-160.25,161.65,1.4,15:29:00,-135.4,131.9,-3.5,15:29:00,105
0,15,866,01-02-2020,09:30:00,NIFTY,11932.2,11936.75,11932.2,11936.4,nan,0,11950,-134.85,156.6,21.75,10:55:00,-160,338.45,178.45,15:29:00,-10010
1,100,5533,01-02-2020,10:55:00,NIFTY,11989.95,12008.5,11989.9,12000.05,nan,0,12000,-132.75,13.45,-119.3,15:29:00,-156.45,171.85,15.4,12:05:00,5195
2,170,9276,01-02-2020,12:05:00,NIFTY,11956.25,11956.25,11936.55,11936.55,nan,0,11950,-145,17.1,-127.9,15:29:00,-144.65,155.6,10.95,12:53:00,5847.5
3,218,11879,01-02-2020,12:53:00,NIFTY,11922.7,11923.6,11883.65,11889.55,nan,0,11900,-146.95,158.9,11.95,13:05:00,-128.9,291.1,162.2,15:29:00,-8707.5
4,230,12586,01-02-2020,13:05:00,NIFTY,11943.95,11971.8,11937.05,11964.45,nan,0,11950,-135.5,17.1,-118.4,15:29:00,-139.9,136.15,-3.75,13:07:00,6107.5
5,232,12709,01-02-2020,13:07:00,NIFTY,11954.9,11955.8,11897.35,11897.35,nan,0,11900,-162.2,22.3,-139.9,15:29:00,-111.75,152,40.25,13:19:00,4982.5
6,244,13411,01-02-2020,13:19:00,NIFTY,11856.45,11862,11821.45,11821.85,nan,0,11850,-129.5,30,-99.5,15:29:00,-124,143.15,19.15,13:29:00,4017.5
7,254,14011,01-02-2020,13:29:00,NIFTY,11803.9,11803.9,11773.8,11774.9,nan,0,11800,-113.4,39.95,-73.45,15:29:00,-116.1,144,27.9,13:45:00,2277.5
8,270,14980,01-02-2020,13:45:00,NIFTY,11764.65,11764.65,11736.45,11737,nan,0,11750,-117.9,129.95,12.05,13:57:00,-114.8,172.15,57.35,15:29:00,-3470
9,282,15705,01-02-2020,13:57:00,NIFTY,11795.55,11819.7,11795.15,11819.4,nan,0,11800,-105,39.95,-65.05,15:29:00,-119.5,131.7,12.2,14:51:00,2642.5
10,336,18821,01-02-2020,14:51:00,NIFTY,11766.05,11766.8,11748.7,11749.1,nan,0,11750,-100.5,53.5,-47,15:29:00,-103.05,133.95,30.9,15:00:00,805
11,345,19348,01-02-2020,15:00:00,NIFTY,11703.75,11704.05,11685.15,11685.35,nan,0,11700,-91.15,70.3,-20.85,15:29:00,-104.05,132.35,28.3,15:16:00,-372.5
12,361,20337,01-02-2020,15:16:00,NIFTY,11656.05,11656.85,11644.25,11646.7,nan,0,11650,-91.5,93.05,1.55,15:29:00,-103.8,112.65,8.85,15:29:00,-520
0,15,983,03-02-2020,09:30:00,NIFTY,11682.65,11682.65,11651.7,11653.95,nan,0,11700,-69.3,68.3,-1,15:29:00,-107.7,123.9,16.2,09:32:00,-760
1,17,1118,03-02-2020,09:32:00,NIFTY,11657.9,11658.2,11631.25,11633.1,nan,0,11650,-83.3,88.25,4.95,10:00:00,-94.35,49.35,-45,15:29:00,2002.5
2,45,2773,03-02-2020,10:00:00,NIFTY,11678.35,11703.9,11678.35,11701.6,nan,0,11700,-65.9,68.3,2.4,15:29:00,-107.95,109.9,1.95,11:50:00,-217.5
3,155,8745,03-02-2020,11:50:00,NIFTY,11667.15,11667.15,11649.7,11649.7,nan,0,11650,-77.3,86.15,8.85,12:43:00,-82.25,49.35,-32.9,15:29:00,1202.5
4,208,11348,03-02-2020,12:43:00,NIFTY,11691.9,11700.75,11691.6,11700.05,nan,0,11700,-61.5,68.3,6.8,15:29:00,-96.1,69.5,-26.6,15:29:00,990
0,15,868,04-02-2020,09:30:00,NIFTY,11835.1,11839.1,11831.1,11835.5,nan,0,11850,-35.5,65.2,29.7,10:55:00,-93.65,15.3,-78.35,15:29:00,2432.5
1,100,5264,04-02-2020,10:55:00,NIFTY,11897.75,11902.85,11897.75,11901.15,nan,0,11900,-41.4,70.35,28.95,11:45:00,-78.5,29.1,-49.4,15:29:00,1022.5
2,150,7773,04-02-2020,11:45:00,NIFTY,11946.65,11953,11946.3,11950.45,nan,0,11950,-46.85,52.35,5.5,15:29:00,-76.15,50.95,-25.2,15:29:00,985
0,15,747,05-02-2020,09:30:00,NIFTY,12006.55,12006.85,12004.4,12005.35,nan,0,12000,-38.9,62.35,23.45,14:06:00,-59.8,7.9,-51.9,15:29:00,1422.5
1,291,11888,05-02-2020,14:06:00,NIFTY,12046.8,12056.8,12046.6,12056.65,nan,0,12050,-34.7,57.45,22.75,15:29:00,-44.9,17.95,-26.95,15:29:00,210
0,15,750,06-02-2020,09:30:00,NIFTY,12127.75,12127.95,12121.2,12121.7,nan,0,12150,-17.5,0.05,-17.45,15:29:00,-44.9,55.6,10.7,10:56:00,337.5
1,101,4104,06-02-2020,10:56:00,NIFTY,12100.5,12100.6,12096.1,12096.6,nan,0,12100,-34.1,52.25,18.15,11:55:00,-25.85,0.05,-25.8,15:29:00,382.5
2,160,6234,06-02-2020,11:55:00,NIFTY,12146.25,12153.35,12144.5,12152.05,nan,0,12150,-20,0.05,-19.95,15:29:00,-24.45,12.25,-12.2,15:29:00,1607.5
0,15,631,07-02-2020,09:30:00,NIFTY,12117.6,12117.6,12110.3,12110.65,nan,0,12100,-68.2,55.1,-13.1,15:29:00,-84.65,80.1,-4.55,15:29:00,882.5
0,15,608,10-02-2020,09:30:00,NIFTY,12049.65,12049.65,12035.55,12039,nan,0,12050,-53.85,50.55,-3.3,15:29:00,-73.7,101.2,27.5,10:33:00,-1210
1,78,2985,10-02-2020,10:33:00,NIFTY,12001,12001,11993.4,11994.15,nan,0,12000,-59.45,78.5,19.05,15:29:00,-71,43.55,-27.45,15:29:00,420
0,15,623,11-02-2020,09:30:00,NIFTY,12141.1,12155.85,12141.1,12152.9,nan,0,12150,-49.8,26.45,-23.35,15:29:00,-52.95,65.25,12.3,15:29:00,552.5
0,15,569,12-02-2020,09:30:00,NIFTY,12206.3,12206.9,12202.7,12206.2,nan,0,12200,-35.25,39.15,3.9,15:29:00,-40.05,25.85,-14.2,15:29:00,515
0,15,574,13-02-2020,09:30:00,NIFTY,12186.45,12186.5,12182.8,12183.9,nan,0,12200,-13.15,0.05,-13.1,15:29:00,-38.8,53.25,14.45,11:45:00,-67.5
1,150,4463,13-02-2020,11:45:00,NIFTY,12154.2,12154.25,12149.65,12149.7,nan,0,12150,-16.65,24.8,8.15,15:29:00,-17.2,0.05,-17.15,15:29:00,450
0,15,592,14-02-2020,09:30:00,NIFTY,12238.15,12246.45,12238.15,12244.05,nan,0,12250,-63.4,24.1,-39.3,15:29:00,-70.1,83.3,13.2,10:04:00,1305
1,49,1840,14-02-2020,10:04:00,NIFTY,12200.2,12201.1,12195.85,12195.95,nan,0,12200,-72.05,38.5,-33.55,15:29:00,-58,87.35,29.35,10:52:00,210
2,97,3520,14-02-2020,10:52:00,NIFTY,12154.2,12154.2,12126.45,12142.1,nan,0,12150,-75,58,-17,15:29:00,-61.3,89.05,27.75,14:42:00,-537.5
3,327,11853,14-02-2020,14:42:00,NIFTY,12107.85,12108.6,12098.4,12098.65,nan,0,12100,-79.1,82.6,3.5,15:29:00,-63.5,55.55,-7.95,15:29:00,222.5
0,15,634,17-02-2020,09:30:00,NIFTY,12089.35,12089.35,12077.4,12079.35,nan,0,12100,-59.85,50,-9.85,15:29:00,-77.2,86.05,8.85,13:40:00,50
1,265,9061,17-02-2020,13:40:00,NIFTY,12051.95,12052.2,12048.1,12048.9,nan,0,12050,-68.15,74.25,6.1,15:29:00,-58.05,48.9,-9.15,15:29:00,152.5
0,15,630,18-02-2020,09:30:00,NIFTY,11976.55,11976.55,11965.4,11966.1,nan,0,12000,-44.25,53.8,9.55,15:29:00,-71.35,76.95,5.6,10:40:00,-757.5
1,85,3247,18-02-2020,10:40:00,NIFTY,11950.7,11950.9,11946.3,11947.9,nan,0,11950,-56.6,85.25,28.65,15:14:00,-48.9,21.45,-27.45,15:29:00,-60
2,359,12956,18-02-2020,15:14:00,NIFTY,11995.15,12000.9,11995.15,12000.9,nan,0,12000,-55,53.8,-1.2,15:29:00,-44.35,40.3,-4.05,15:29:00,262.5
0,15,621,19-02-2020,09:30:00,NIFTY,12108.8,12118.9,12108.8,12114.1,nan,0,12100,-46.1,53,6.9,15:29:00,-33.65,68.3,34.65,10:25:00,-2077.5
1,70,2636,19-02-2020,10:25:00,NIFTY,12051.35,12051.55,12042.1,12044.15,nan,0,12050,-43,63.95,20.95,12:25:00,-37.75,6.5,-31.25,15:29:00,515
2,190,6296,19-02-2020,12:25:00,NIFTY,12091.45,12104.95,12090.9,12104.7,nan,0,12100,-35.05,53,17.95,15:29:00,-40.55,16.65,-23.9,15:29:00,297.5
0,15,517,20-02-2020,09:30:00,NIFTY,12130.15,12131.05,12124.65,12125.65,nan,0,12150,-11.8,0.05,-11.75,15:29:00,-38.3,45.25,6.95,14:54:00,240
1,339,8752,20-02-2020,14:54:00,NIFTY,12103.05,12103.15,12094.8,12097.5,nan,0,12100,-10.35,0.05,-10.3,15:29:00,-5.4,19.05,13.65,15:29:00,-167.5
0,15,957,24-02-2020,09:30:00,NIFTY,11941.45,11945.55,11937.5,11945.55,nan,0,11950,-59.25,38.15,-21.1,15:29:00,-89.65,107.55,17.9,14:26:00,160
1,311,15277,24-02-2020,14:26:00,NIFTY,11910.75,11910.75,11894.85,11896.5,nan,0,11900,-70.7,55.25,-15.45,15:29:00,-77.8,118.75,40.95,15:02:00,-1275
2,347,17467,24-02-2020,15:02:00,NIFTY,11852.2,11856.45,11846.4,11847.25,nan,0,11850,-85.6,77.65,-7.95,15:29:00,-91.3,96.95,5.65,15:29:00,115
0,15,974,25-02-2020,09:30:00,NIFTY,11870.6,11870.6,11859.65,11859.95,nan,0,11850,-85.85,56.6,-29.25,15:29:00,-72,92.3,20.3,14:09:00,447.5
1,294,15105,25-02-2020,14:09:00,NIFTY,11800.65,11800.65,11793.65,11795,nan,0,11800,-73.6,83.8,10.2,15:29:00,-66.6,47.85,-18.75,15:29:00,427.5
0,15,884,26-02-2020,09:30:00,NIFTY,11734.8,11736.6,11730.85,11731,nan,0,11750,-49.8,21.7,-28.1,15:29:00,-60.15,69.9,9.75,10:53:00,917.5
1,98,5163,26-02-2020,10:53:00,NIFTY,11701.05,11701.05,11698.55,11698.55,nan,0,11700,-58.25,77.95,19.7,13:19:00,-43.25,45.35,2.1,15:29:00,-1090
2,244,12175,26-02-2020,13:19:00,NIFTY,11749.45,11753,11749.45,11751.45,nan,0,11750,-46.95,21.7,-25.25,15:29:00,-44.45,77.4,32.95,14:26:00,-385
3,311,15723,26-02-2020,14:26:00,NIFTY,11700.2,11704.95,11697,11698.65,nan,0,11700,-47.3,44.25,-3.05,15:29:00,-48.85,81.1,32.25,14:40:00,-1460
4,325,16548,26-02-2020,14:40:00,NIFTY,11650.3,11652,11646.35,11646.95,nan,0,11650,-52.65,76.15,23.5,15:29:00,-52.35,26.7,-25.65,15:29:00,107.5
0,15,881,27-02-2020,09:30:00,NIFTY,11623.95,11625.95,11621.7,11621.8,nan,0,11600,-51.1,32.5,-18.6,15:29:00,-16.4,54.5,38.1,10:28:00,-975
1,73,4131,27-02-2020,10:28:00,NIFTY,11552.05,11552.05,11536.7,11539.5,nan,0,11550,-34.25,49.4,15.15,12:57:00,-25.1,0.05,-25.05,15:29:00,495
2,222,11541,27-02-2020,12:57:00,NIFTY,11594.5,11601.95,11592.2,11600.05,nan,0,11600,-19.4,32.5,13.1,15:29:00,-30.6,0.05,-30.55,15:29:00,872.5
0,15,902,28-02-2020,09:30:00,NIFTY,11339.9,11348.1,11337.85,11344.2,nan,0,11350,-152.2,84.35,-67.85,15:29:00,-147.65,163.3,15.65,09:37:00,2610
1,22,1316,28-02-2020,09:37:00,NIFTY,11303.7,11305.05,11296.2,11297.5,nan,0,11300,-159.85,107.2,-52.65,15:29:00,-140.85,180.1,39.25,12:16:00,670
2,181,10012,28-02-2020,12:16:00,NIFTY,11252.2,11253.75,11247.9,11248.05,nan,0,11250,-159.9,181.7,21.8,11:47:00,-157.15,188.75,31.6,15:29:00,-2670
3,152,8389,28-02-2020,11:47:00,NIFTY,11302.2,11302.5,11300.65,11301.95,nan,0,11300,-151.85,107.2,-44.65,15:29:00,-144.4,187.4,43,14:23:00,82.5
4,308,16747,28-02-2020,14:23:00,NIFTY,11255.2,11255.65,11245.1,11247.85,nan,0,11250,-151,134.5,-16.5,15:29:00,-166,203.5,37.5,15:00:00,-1050
5,345,18849,28-02-2020,15:00:00,NIFTY,11202.65,11202.65,11183.75,11185.95,nan,0,11200,-159.75,163.85,4.1,15:29:00,-181.1,169.35,-11.75,15:29:00,382.5
0,15,974,02-03-2020,09:30:00,NIFTY,11331.2,11333.15,11320.5,11333.15,nan,0,11350,-112.7,135.4,22.7,12:09:00,-150.1,256.85,106.75,15:29:00,-6472.5
1,174,9940,02-03-2020,12:09:00,NIFTY,11394.85,11405.3,11394.05,11402.55,nan,0,11400,-106.3,34.75,-71.55,15:29:00,-128.45,145.2,16.75,14:30:00,2740
2,315,17484,02-03-2020,14:30:00,NIFTY,11352.6,11355.05,11340.9,11340.9,nan,0,11350,-126.2,48.8,-77.4,15:29:00,-122.3,151,28.7,14:44:00,2435
3,329,18392,02-03-2020,14:44:00,NIFTY,11304.65,11310.75,11299.15,11299.15,nan,0,11300,-134.4,66.3,-68.1,15:29:00,-128.7,157.15,28.45,15:00:00,1982.5
4,345,19456,02-03-2020,15:00:00,NIFTY,11272.45,11272.45,11225.35,11226.5,nan,0,11250,-144.65,88.1,-56.55,15:29:00,-137.95,176.95,39,15:02:00,877.5
5,347,19596,02-03-2020,15:02:00,NIFTY,11203.95,11205.65,11177.6,11191.9,nan,0,11200,-147.65,112.4,-35.25,15:29:00,-156.05,180.1,24.05,15:05:00,560
6,350,19806,02-03-2020,15:05:00,NIFTY,11160.4,11163.15,11140.95,11145.7,nan,0,11150,-164.4,142.2,-22.2,15:29:00,-161.2,178.45,17.25,15:11:00,247.5
7,356,20232,02-03-2020,15:11:00,NIFTY,11104.15,11105.1,11076.45,11081.65,nan,0,11100,-164.05,172.25,8.2,15:29:00,-159.6,183.55,23.95,15:14:00,-1607.5
8,359,20446,02-03-2020,15:14:00,NIFTY,11060.05,11061.2,11039.55,11049.8,nan,0,11050,-175.45,186.55,11.1,15:18:00,-164.8,117.1,-47.7,15:29:00,1830
9,363,20747,02-03-2020,15:18:00,NIFTY,11096.2,11117.9,11096.2,11116.2,nan,0,11100,-153.6,174.9,21.3,15:20:00,-156.9,133,-23.9,15:29:00,130
10,365,20894,02-03-2020,15:20:00,NIFTY,11139.95,11163,11139.95,11154.8,nan,0,11150,-143,142.2,-0.8,15:29:00,-149.3,151.7,2.4,15:29:00,-80
0,15,987,03-03-2020,09:30:00,NIFTY,11288.4,11293.55,11287.45,11287.45,nan,0,11300,-109.3,108.9,-0.4,15:29:00,-123,144.45,21.45,10:18:00,-1052.5
1,63,3889,03-03-2020,10:18:00,NIFTY,11276.4,11277.65,11233,11236.6,nan,0,11250,-128.05,141,12.95,15:29:00,-122.55,172.65,50.1,10:36:00,-3152.5
2,81,5041,03-03-2020,10:36:00,NIFTY,11197.2,11207.85,11194.05,11198,nan,0,11200,-122.45,150.95,28.5,12:50:00,-147.85,64.35,-83.5,15:29:00,2750
3,215,12918,03-03-2020,12:50:00,NIFTY,11249.15,11256.7,11249.15,11254.95,nan,0,11250,-120.5,141,20.5,15:29:00,-130,172.5,42.5,10:37:00,-3150
4,82,5109,03-03-2020,10:37:00,NIFTY,11198.6,11198.7,11180.9,11190,nan,0,11200,-125,147.75,22.75,12:58:00,-149.55,64.35,-85.2,15:29:00,3122.5
5,223,13374,03-03-2020,12:58:00,NIFTY,11254.35,11256.4,11252.9,11252.9,nan,0,11250,-117.5,124.35,6.85,14:30:00,-130.85,78.95,-51.9,15:29:00,2252.5
6,315,18869,03-03-2020,14:30:00,NIFTY,11288.4,11304.1,11285.65,11302.55,nan,0,11300,-95.75,108.9,13.15,15:29:00,-133.5,97.05,-36.45,15:29:00,1165
0,15,1002,04-03-2020,09:30:00,NIFTY,11301.7,11304.8,11294.65,11294.75,nan,0,11300,-84.7,42.3,-42.4,15:29:00,-106.25,114.15,7.9,10:55:00,1725
1,100,5796,04-03-2020,10:55:00,NIFTY,11256.85,11256.85,11248.5,11249.15,nan,0,11250,-87.05,65.65,-21.4,15:29:00,-89.5,115,25.5,12:57:00,-205
2,222,12189,04-03-2020,12:57:00,NIFTY,11203.25,11203.25,11188.6,11195.2,nan,0,11200,-75.65,95.35,19.7,15:29:00,-89.2,113,23.8,13:29:00,-2175
3,254,14052,04-03-2020,13:29:00,NIFTY,11167,11167.1,11148.5,11149.3,nan,0,11150,-85,131.25,46.25,15:29:00,-87.15,123.05,35.9,13:43:00,-4107.5
4,268,14971,04-03-2020,13:43:00,NIFTY,11096.55,11098.6,11082.15,11090.55,nan,0,11100,-80.8,101.25,20.45,14:20:00,-97.8,16.45,-81.35,15:29:00,3045
5,305,17172,04-03-2020,14:20:00,NIFTY,11145.7,11168.15,11145.7,11159.15,nan,0,11150,-73.5,95,21.5,14:59:00,-89.85,25.95,-63.9,15:29:00,2120
6,344,19441,04-03-2020,14:59:00,NIFTY,11192.25,11204.3,11192.25,11203.25,nan,0,11200,-66.2,103.9,37.7,15:10:00,-70.75,40.75,-30,15:29:00,-385
7,355,20135,04-03-2020,15:10:00,NIFTY,11246.15,11258.55,11246.15,11257.9,nan,0,11250,-73.45,65.65,-7.8,15:29:00,-68.95,60.75,-8.2,15:29:00,800
0,15,940,05-03-2020,09:30:00,NIFTY,11283.55,11283.55,11267.55,11274.9,nan,0,11300,-37.2,54.25,17.05,10:49:00,-51.95,30.95,-21,15:29:00,197.5
1,94,4875,05-03-2020,10:49:00,NIFTY,11339.55,11351.4,11339.55,11350.55,nan,0,11350,-25.55,0.05,-25.5,15:29:00,-46,65,19,13:50:00,325
2,275,12835,05-03-2020,13:50:00,NIFTY,11302.8,11305.25,11291.4,11292.85,nan,0,11300,-17.8,0.05,-17.75,15:29:00,-27,30.15,3.15,15:25:00,730
3,370,17161,05-03-2020,15:25:00,NIFTY,11258.15,11259.95,11249.5,11249.95,nan,0,11250,-20,18.95,-1.05,15:29:00,-0.05,0.05,0,15:29:00,52.5
